epoch,loss,val_loss
0,11926.9619140625,11396.919921875
1,11926.865234375,11396.908203125
2,11926.8623046875,11396.900390625
3,11926.86328125,11396.8935546875
4,11926.8623046875,11396.888671875
5,11926.8623046875,11396.8857421875
6,11926.86328125,11396.8828125
7,11926.86328125,11396.880859375
8,11926.86328125,11396.87890625
9,11926.86328125,11396.876953125
10,11926.86328125,11396.875
11,11926.86328125,11396.875
12,11926.86328125,11396.873046875
13,11926.8623046875,11396.873046875
14,11926.8623046875,11396.873046875
15,11926.86328125,11396.87109375
16,11926.86328125,11396.87109375
17,11926.8623046875,11396.869140625
18,11926.86328125,11396.869140625
19,11926.86328125,11396.8671875
20,11926.86328125,11396.8671875
21,11926.86328125,11396.8671875
22,11926.86328125,11396.8671875
23,11926.86328125,11396.8671875
24,11926.86328125,11396.8662109375
25,11926.86328125,11396.8662109375
26,11926.86328125,11396.8662109375
